"","x","y","sci.name","mod","climate_proj","ToE"
"152",-67.625,42.625,"Pollachius virens","IPSL","2-6",2072
"153",-67.625,42.625,"Pollachius virens","IPSL","8-5",2059
"154",-67.625,42.625,"Sebastes fasciatus","AWI","2-6",2021
"155",-67.625,42.625,"Sebastes fasciatus","AWI","8-5",2039
"156",-67.625,42.625,"Sebastes fasciatus","CNRM","2-6",2048
"157",-67.625,42.625,"Sebastes fasciatus","CNRM","8-5",2099
"158",-67.625,42.625,"Sebastes fasciatus","GFDL","8-5",2026
"159",-67.625,42.625,"Sebastes fasciatus","HAD","2-6",2078
"160",-67.625,42.625,"Sebastes fasciatus","HAD","8-5",2034
"161",-67.625,42.625,"Sebastes fasciatus","IPSL","2-6",2028
"162",-67.625,42.625,"Sebastes fasciatus","IPSL","8-5",2017
"163",-67.625,42.625,"Squalus acanthias","AWI","2-6",2018
"164",-67.625,42.625,"Squalus acanthias","AWI","8-5",2073
"165",-67.625,42.625,"Squalus acanthias","CNRM","2-6",2026
"166",-67.625,42.625,"Squalus acanthias","CNRM","8-5",2015
"167",-67.625,42.625,"Squalus acanthias","GFDL","8-5",2027
"168",-67.625,42.625,"Squalus acanthias","HAD","2-6",2053
"169",-67.625,42.625,"Squalus acanthias","HAD","8-5",2070
"170",-67.625,42.625,"Squalus acanthias","IPSL","2-6",2029
"171",-67.625,42.625,"Squalus acanthias","IPSL","8-5",2021
"172",-67.625,42.625,"Urophycis tenuis","AWI","2-6",2097
"173",-67.625,42.625,"Urophycis tenuis","AWI","8-5",2058
"174",-67.625,42.625,"Urophycis tenuis","CNRM","2-6",2015
"175",-67.625,42.625,"Urophycis tenuis","CNRM","8-5",2083
"176",-67.625,42.625,"Urophycis tenuis","GFDL","8-5",2084
"177",-67.625,42.625,"Urophycis tenuis","HAD","2-6",2093
"178",-67.625,42.625,"Urophycis tenuis","HAD","8-5",2052
"179",-67.625,42.625,"Urophycis tenuis","IPSL","2-6",2015
"180",-67.625,42.625,"Urophycis tenuis","IPSL","8-5",2086
"181",-67.625,43.375,"Amblyraja radiata","AWI","2-6",2015
"182",-67.625,43.375,"Amblyraja radiata","AWI","8-5",2015
"183",-67.625,43.375,"Amblyraja radiata","CNRM","2-6",2065
"184",-67.625,43.375,"Amblyraja radiata","CNRM","8-5",2030
"185",-67.625,43.375,"Amblyraja radiata","GFDL","8-5",2015
"186",-67.625,43.375,"Amblyraja radiata","HAD","2-6",2015
"187",-67.625,43.375,"Amblyraja radiata","HAD","8-5",2094
"188",-67.625,43.375,"Amblyraja radiata","IPSL","2-6",2061
"189",-67.625,43.375,"Amblyraja radiata","IPSL","8-5",2015
"190",-67.625,43.375,"Anarhichas lupus","AWI","2-6",2083
"191",-67.625,43.375,"Anarhichas lupus","AWI","8-5",2045
"192",-67.625,43.375,"Anarhichas lupus","CNRM","2-6",2017
"193",-67.625,43.375,"Anarhichas lupus","CNRM","8-5",2030
"194",-67.625,43.375,"Anarhichas lupus","GFDL","8-5",2026
"195",-67.625,43.375,"Anarhichas lupus","HAD","2-6",2024
"196",-67.625,43.375,"Anarhichas lupus","HAD","8-5",2022
"197",-67.625,43.375,"Anarhichas lupus","IPSL","2-6",2091
"198",-67.625,43.375,"Anarhichas lupus","IPSL","8-5",2015
"199",-67.625,43.375,"Brosme brosme","AWI","2-6",2055
"200",-67.625,43.375,"Brosme brosme","AWI","8-5",2041
"201",-67.625,43.375,"Brosme brosme","CNRM","2-6",2039
"202",-67.625,43.375,"Brosme brosme","CNRM","8-5",2077
"203",-67.625,43.375,"Brosme brosme","GFDL","8-5",2029
"204",-67.625,43.375,"Brosme brosme","HAD","2-6",2015
"205",-67.625,43.375,"Brosme brosme","HAD","8-5",2074
"206",-67.625,43.375,"Brosme brosme","IPSL","2-6",2037
