"","mod","climate_proj","year","mean.temp","temp.sd"
"75","AWI","2-6",2089,11.5096917641339,5.54588999437143
"76","AWI","2-6",2090,11.58845424411,6.39284417374329
"77","AWI","2-6",2091,11.0426056853448,6.16406183303506
"78","AWI","2-6",2092,10.5005392569877,5.96717234794338
"79","AWI","2-6",2093,10.9839839861825,5.86098053494112
"80","AWI","2-6",2094,12.5259738221579,5.674840762849
"81","AWI","2-6",2095,11.2391990926651,4.82554394738923
"82","AWI","2-6",2096,12.3420837563323,5.9963091606984
"83","AWI","2-6",2097,11.4926792845799,5.48503858153312
"84","AWI","2-6",2098,11.986931329535,5.66051933323602
"85","AWI","2-6",2099,11.9327530145503,5.22561682147812
"86","AWI","2-6",2100,11.7309158925829,5.77909701933266
"87","AWI","8-5",2015,10.4592685942794,5.99519071461333
"88","AWI","8-5",2016,9.96813621696368,5.83474006402375
"89","AWI","8-5",2017,10.1330475348028,6.16967334760071
"90","AWI","8-5",2018,10.8241043908339,6.02483803582966
"91","AWI","8-5",2019,10.8199391763415,6.00183089617644
"92","AWI","8-5",2020,10.9658223824402,5.59015325288825
"93","AWI","8-5",2021,10.4035026665819,6.1094110654541
"94","AWI","8-5",2022,10.3944286608105,5.95329683294787
"95","AWI","8-5",2023,10.2564323425228,5.721958350467
"96","AWI","8-5",2024,10.0835728162364,5.85436170008734
"97","AWI","8-5",2025,11.2012103837278,6.1542697978038
"98","AWI","8-5",2026,10.6811154092271,6.41677109566056
"99","AWI","8-5",2027,10.8397908527032,5.89310256294479
"100","AWI","8-5",2028,10.462430116396,6.10221307286999
"101","AWI","8-5",2029,11.2670761649456,6.74610626138832
"102","AWI","8-5",2030,10.938139659278,5.39995954896691
"103","AWI","8-5",2031,11.1212738367034,6.12885078441878
"104","AWI","8-5",2032,11.0996458947219,5.87076600357169
"105","AWI","8-5",2033,9.74204009519155,5.88416526736981
"106","AWI","8-5",2034,10.9009685084726,6.27108623349384
"107","AWI","8-5",2035,11.0589904443405,5.90120283819622
"108","AWI","8-5",2036,10.7996247513003,5.88108875708364
"109","AWI","8-5",2037,10.4226221693019,6.08238545650586
"110","AWI","8-5",2038,11.3218502631793,5.93436273951898
"111","AWI","8-5",2039,12.2160450728832,6.26519987544317
"112","AWI","8-5",2040,12.0943200317787,6.0222847393297
"113","AWI","8-5",2041,11.9602646848108,5.79230757575904
"114","AWI","8-5",2042,12.484559187442,5.84128729541252
"115","AWI","8-5",2043,11.7692417929875,6.28909948299535
"116","AWI","8-5",2044,11.0529314051416,5.49546886784803
"117","AWI","8-5",2045,11.4946678481539,6.45649967820653
"118","AWI","8-5",2046,11.8799056831271,6.26015896845525
"119","AWI","8-5",2047,11.9099270426163,5.98981533088463
"120","AWI","8-5",2048,12.314851272749,5.97436712299292
"121","AWI","8-5",2049,12.7559511708444,6.77032785534306
"122","AWI","8-5",2050,12.2717783611783,5.55991141020487
"123","AWI","8-5",2051,12.5684372787893,5.9526244370955
"124","AWI","8-5",2052,12.1507977648706,5.83720359802033
"125","AWI","8-5",2053,12.8236092142192,6.22947065345825
"126","AWI","8-5",2054,12.0855933929489,6.06630486412501
"127","AWI","8-5",2055,12.4188009005087,6.46684027648834
"128","AWI","8-5",2056,12.7877793552669,5.53540267634974
"129","AWI","8-5",2057,12.6216777484331,5.66141027064655
"130","AWI","8-5",2058,12.6395818022073,6.26870035086286
"131","AWI","8-5",2059,13.3776600883731,6.26603807852294
"132","AWI","8-5",2060,12.8336767492364,5.86134553568163
"133","AWI","8-5",2061,12.8698710277589,6.21677355013589
"134","AWI","8-5",2062,13.9346985906728,6.17030216534961
"135","AWI","8-5",2063,12.8983171518184,6.18885136136542
"136","AWI","8-5",2064,13.7132995496565,6.53223500641214
"137","AWI","8-5",2065,13.6789302916366,6.72009212899085
"138","AWI","8-5",2066,13.0787746325571,5.65800427258397
"139","AWI","8-5",2067,12.9456526592144,5.89599549885166
"140","AWI","8-5",2068,12.8844229859288,6.49674446836977
"141","AWI","8-5",2069,13.6111238372549,6.21170739265426
"142","AWI","8-5",2070,13.8495367602433,6.22450456677858
"143","AWI","8-5",2071,13.4266486564823,5.94688257869993
"144","AWI","8-5",2072,13.6172863898104,5.82900282042369
"145","AWI","8-5",2073,13.6423931052818,5.7954933432634
"146","AWI","8-5",2074,14.0997477044245,6.08286714046854
"147","AWI","8-5",2075,14.128582949268,5.64129425553921
"148","AWI","8-5",2076,13.6675240804642,5.9761694016738
"149","AWI","8-5",2077,15.4864640079386,6.05199582813609
"150","AWI","8-5",2078,15.5460001680328,6.15375941688512
"151","AWI","8-5",2079,14.6432225192489,6.12754288353034
"152","AWI","8-5",2080,14.9123521331002,6.31666428660755
"153","AWI","8-5",2081,15.0270341007358,5.81335029998195
"154","AWI","8-5",2082,14.5570161221375,6.59847628789489
"155","AWI","8-5",2083,13.4325822604675,6.14288738773216
"156","AWI","8-5",2084,13.06251777253,6.40773967857095
"157","AWI","8-5",2085,14.5989949329802,6.01857416611847
"158","AWI","8-5",2086,14.4967490254262,5.86325542220775
"159","AWI","8-5",2087,15.5554487912576,6.09413314635219
"160","AWI","8-5",2088,14.6114444435393,6.02503210698362
"161","AWI","8-5",2089,15.332401230114,6.66309048459446
"162","AWI","8-5",2090,14.9808991454799,6.19307404576259
"163","AWI","8-5",2091,14.5569881939723,6.19717742818284
"164","AWI","8-5",2092,16.2498858201957,5.9340369797717
"165","AWI","8-5",2093,16.1059116294386,5.64891177414455
"166","AWI","8-5",2094,15.6743083496268,6.17552249026175
"167","AWI","8-5",2095,16.4253381943064,6.71059139894478
"168","AWI","8-5",2096,15.1723505751406,6.28520672465454
"169","AWI","8-5",2097,15.6841651655692,6.49261915277679
"170","AWI","8-5",2098,15.4194073345793,6.31126978748346
"171","AWI","8-5",2099,16.3423195665092,6.13652878797225
"172","AWI","8-5",2100,16.26689826333,6.42910661376734
"173","GFDL","8-5",2015,8.97562036705347,5.09432634650611
"174","GFDL","8-5",2016,8.46193590480251,5.2635574189347
"175","GFDL","8-5",2017,9.24194620411595,5.55637341434512
"176","GFDL","8-5",2018,9.14402894573352,5.56666277192918
"177","GFDL","8-5",2019,9.84887080604706,5.65415133752288
"178","GFDL","8-5",2020,9.42800494180762,5.17830439584247
"179","GFDL","8-5",2021,8.97805955573819,4.75659695869241
"180","GFDL","8-5",2022,9.48683249741758,5.20452714447513
"181","GFDL","8-5",2023,9.15496987235037,5.15454517927812
"182","GFDL","8-5",2024,9.78707701737193,5.35288308012136
"183","GFDL","8-5",2025,9.6155552597537,5.04560218675936
"184","GFDL","8-5",2026,8.52884155670595,5.40617441542464
"185","GFDL","8-5",2027,9.83357663562182,5.36999553506367
"186","GFDL","8-5",2028,9.98072237701012,4.75582910950212
"187","GFDL","8-5",2029,9.60137489783946,5.18037148701883
"188","GFDL","8-5",2030,10.0008321284552,5.33355105370834
"189","GFDL","8-5",2031,9.80775977778656,4.90167434122235
"190","GFDL","8-5",2032,9.60981026476225,5.4778344720691
"191","GFDL","8-5",2033,9.13938460164008,5.10227818801688
"192","GFDL","8-5",2034,10.6792906521321,5.48307924105591
"193","GFDL","8-5",2035,10.5354442474558,5.22410713190308
"194","GFDL","8-5",2036,10.3270257544144,5.0490602414836
"195","GFDL","8-5",2037,9.94591857298497,5.2196487981989
"196","GFDL","8-5",2038,9.76354979944537,5.45458600266543
"197","GFDL","8-5",2039,10.2845618953284,4.7495398533862
"198","GFDL","8-5",2040,10.9209333999303,5.40403974452242
"199","GFDL","8-5",2041,9.9910025661141,5.03627428790237
"200","GFDL","8-5",2042,11.3028646349715,4.9985574701618
"201","GFDL","8-5",2043,10.3879407841742,5.1741013757358
"202","GFDL","8-5",2044,11.0141383173979,5.34419046683311
"203","GFDL","8-5",2045,11.5976133680768,5.13152621962881
"204","GFDL","8-5",2046,11.1197796411,5.2527562855813
"205","GFDL","8-5",2047,10.9902113252243,5.80200534793461
"206","GFDL","8-5",2048,10.8367001891541,5.41750097404213
"207","GFDL","8-5",2049,11.7274863810192,5.52931293525094
"208","GFDL","8-5",2050,11.6378835149181,5.1198782108636
"209","GFDL","8-5",2051,10.870225267977,5.54891869708281
"210","GFDL","8-5",2052,12.1071959441725,5.3584208400197
"211","GFDL","8-5",2053,10.7828903731344,5.28982684882078
"212","GFDL","8-5",2054,11.3602949532545,5.23036806939544
"213","GFDL","8-5",2055,11.3064736880644,5.43181087376517
"214","GFDL","8-5",2056,11.6387924198213,5.61518419548843
"215","GFDL","8-5",2057,11.6113402302754,5.56666259446963
"216","GFDL","8-5",2058,11.7535362023991,5.55238804716379
"217","GFDL","8-5",2059,12.2206528992518,5.85794327876973
"218","GFDL","8-5",2060,11.7143311817827,5.51807651718545
"219","GFDL","8-5",2061,11.4346361707098,5.71111380259197
"220","GFDL","8-5",2062,11.7113230756734,5.07799398627305
"221","GFDL","8-5",2063,12.4753435697126,5.46627209304786
"222","GFDL","8-5",2064,13.526661854044,5.18545507218229
"223","GFDL","8-5",2065,11.9585448442061,5.27371899449793
"224","GFDL","8-5",2066,12.130905940077,5.4882991429032
"225","GFDL","8-5",2067,11.6646978808836,5.06211185720174
"226","GFDL","8-5",2068,12.9623892801739,5.45185141638389
"227","GFDL","8-5",2069,12.8986844358102,5.45691511054587
