common,sci.name,group,details,var,source,lwr,upr
Monkfish,Lophius americanus,Piscivore,Commercially fished/Sensitive population,depth,aquamaps,99,352
North Atlantic Right whale,Eubalaena glacialis,Planktivore,Critically Endangered,depth,aquamaps,10,200
Northern Bottlenose whale,Hyperoodon ampullatus,Piscivore,Depleted species,depth,aquamaps,1000,2000
Northern shrimp,Pandalus borealis,Planktivore,Commercially fished,depth,aquamaps,50,500
(ESS/WSS)pollock,Pollachius virens,Piscivore,Commercially fished/Sensitive population,depth,aquamaps,74,188
Porbeagle shark,Lamna nasus,Piscivore,Vulnerable species,depth,aquamaps,0,300
Redfish species (1),Sebastes fasciatus,Piscivore,Commercially fished/Endangered,depth,aquamaps,128,366
Redfish species (2),Sebastes mentella,Piscivore,Commercially fished/Endangered,depth,aquamaps,446,791
Smooth skate,Malacoraja senta,Medium benthivore,Special concern,depth,aquamaps,154,426
Snow crab,Chionoecetes opilio,Decapod,Commercially fished,depth,aquamaps,100,300
Spiny dogfish,Squalus acanthias,Piscivore,Commercially fished/Threatened,depth,aquamaps,50,300
Thorny skate,Amblyraja radiata,Large benthivore,Special concern,depth,aquamaps,25,440
White hake,Urophycis tenuis,Piscivore,Commercially fished/Threatened,depth,aquamaps,100,247
White shark,Carcharodon carcharias,Carnivore,Vulnerable species,depth,aquamaps,0,250
Winter skate,Leucoraja ocellata,Large benthivore,Threatened,depth,aquamaps,12,59
Witch flounder,Glyptocephalus cynoglossus,Medium benthivore,Commercially fished/Sensitive population,depth,aquamaps,45,366
American lobster,Homarus americanus,Decapod,Commercially fished,depth,shackell,,
American plaice,Hippoglossoides platessoides,Large benthivore,Commercially fished/Endangered,depth,shackell,,
(ESS/WSS) Atlantic cod,Gadus morhua,Piscivore,Commercially fished/Endangered,depth,shackell,,
Atlantic halibut,Hippoglossus hippoglossus,Piscivore,Commercially fished,depth,shackell,,
Atlantic wolffish,Anarhichas lupus,Large benthivore,Special concern,depth,shackell,,
Basking shark,Cetorhinus maximus,Planktivore,Endangered species,depth,shackell,,
Blue whale,Balaenoptera musculus,Piscivore,Endangered species,depth,shackell,,
Copepod (1),Calanus glacialis,Zooplankton,Important food source,depth,shackell,,
Copepod (2),Calanus finmarchicus,Zooplankton,Important food source,depth,shackell,,
Common shortfin squid,Illex illecebrosus,Piscivore,Important food source,depth,shackell,,
Cusk,Brosme brosme,Piscivore,Endangered species,depth,shackell,,
(ESS/WSS)haddock,Melanogrammus aeglefinus,Large benthivore,Commercially fished,depth,shackell,,
Little skate,Leucoraja erinacea,Medium benthivore,Sensitive population,depth,shackell,,
Loggerhead turtle,Caretta caretta,Piscivore,Vulnerable species,depth,shackell,,
Monkfish,Lophius americanus,Piscivore,Commercially fished/Sensitive population,depth,shackell,,
North Atlantic Right whale,Eubalaena glacialis,Planktivore,Critically Endangered,depth,shackell,,
Northern Bottlenose whale,Hyperoodon ampullatus,Piscivore,Depleted species,depth,shackell,,
Northern shrimp,Pandalus borealis,Planktivore,Commercially fished,depth,shackell,,
(ESS/WSS)pollock,Pollachius virens,Piscivore,Commercially fished/Sensitive population,depth,shackell,,
Porbeagle shark,Lamna nasus,Piscivore,Vulnerable species,depth,shackell,,
Redfish species (1),Sebastes fasciatus,Piscivore,Commercially fished/Endangered,depth,shackell,,
Redfish species (2),Sebastes mentella,Piscivore,Commercially fished/Endangered,depth,shackell,,
Smooth skate,Malacoraja senta,Medium benthivore,Special concern,depth,shackell,,
Snow crab,Chionoecetes opilio,Decapod,Commercially fished,depth,shackell,,
